School,Salary Type,Faculty Level,Salary
Amherst,Real,Full,155832.57
Bates,Real,Full,134487.13
Bowdoin,Real,Full,146856.94
Carleton,Real,Full,141305.40
Claremont McKenna,Real,Full,176097.86
Colby,Real,Full,145970.84
Colgate,Real,Full,151653.61
Davidson,Real,Full,134729.29
Furman,Real,Full,102722.95
Grinnell,Real,Full,139557.74
Hamilton,Real,Full,142149.28
Haverford,Real,Full,131175.59
Macalester,Real,Full,126583.01
Middlebury,Real,Full,140387.28
Oberlin,Real,Full,122742.26
Pomona,Real,Full,160490.68
Swarthmore,Real,Full,156328.64
Vassar,Real,Full,142788.30
Washington and Lee,Real,Full,143853.24
Wesleyan,Real,Full,158454.83
Williams,Real,Full,149902.98
Amherst,Cola-Adjusted,Full,142275.14
Bates,Cola-Adjusted,Full,153180.84
Bowdoin,Cola-Adjusted,Full,137458.10
Carleton,Cola-Adjusted,Full,137914.07
Claremont McKenna,Cola-Adjusted,Full,60401.57
Colby,Cola-Adjusted,Full,177062.63
Colgate,Cola-Adjusted,Full,175008.27
Davidson,Cola-Adjusted,Full,112094.77
Furman,Cola-Adjusted,Full,114330.64
Grinnell,Cola-Adjusted,Full,168585.75
Hamilton,Cola-Adjusted,Full,176975.85
Haverford,Cola-Adjusted,Full,38827.97
Macalester,Cola-Adjusted,Full,128355.17
Middlebury,Cola-Adjusted,Full,144318.12
Oberlin,Cola-Adjusted,Full,150850.24
Pomona,Cola-Adjusted,Full,55048.30
Swarthmore,Cola-Adjusted,Full,136943.89
Vassar,Cola-Adjusted,Full,139218.59
Washington and Lee,Cola-Adjusted,Full,164424.25
Wesleyan,Cola-Adjusted,Full,154335.00
Williams,Cola-Adjusted,Full,148553.85
Amherst,Real,Associate,110986.29
Bates,Real,Associate,105216.93
Bowdoin,Real,Associate,113680.19
Carleton,Real,Associate,107210.25
Claremont McKenna,Real,Associate,128041.61
Colby,Real,Associate,105841.43
Colgate,Real,Associate,108479.27
Davidson,Real,Associate,98242.92
Furman,Real,Associate,82983.13
Grinnell,Real,Associate,105907.67
Hamilton,Real,Associate,108150.00
Haverford,Real,Associate,101031.32
Macalester,Real,Associate,95132.95
Middlebury,Real,Associate,104368.11
Oberlin,Real,Associate,94994.30
Pomona,Real,Associate,120016.47
Swarthmore,Real,Associate,111489.46
Vassar,Real,Associate,111493.42
Washington and Lee,Real,Associate,115712.37
Wesleyan,Real,Associate,111007.56
Williams,Real,Associate,106039.74
Amherst,Cola-Adjusted,Associate,101330.48
Bates,Cola-Adjusted,Associate,119842.08
Bowdoin,Cola-Adjusted,Associate,106404.66
Carleton,Cola-Adjusted,Associate,104637.20
Claremont McKenna,Cola-Adjusted,Associate,43918.27
Colby,Cola-Adjusted,Associate,128385.65
Colgate,Cola-Adjusted,Associate,125185.08
Davidson,Cola-Adjusted,Associate,81738.11
Furman,Cola-Adjusted,Associate,92360.22
Grinnell,Cola-Adjusted,Associate,127936.47
Hamilton,Cola-Adjusted,Associate,134646.75
Haverford,Cola-Adjusted,Associate,29905.27
Macalester,Cola-Adjusted,Associate,96464.81
Middlebury,Cola-Adjusted,Associate,107290.42
Oberlin,Cola-Adjusted,Associate,116747.99
Pomona,Cola-Adjusted,Associate,41165.65
Swarthmore,Cola-Adjusted,Associate,97664.77
Vassar,Cola-Adjusted,Associate,108706.08
Washington and Lee,Cola-Adjusted,Associate,132259.24
Wesleyan,Cola-Adjusted,Associate,108121.36
Williams,Cola-Adjusted,Associate,105085.38
Amherst,Real,Assistant,93328.94
Bates,Real,Assistant,85861.90
Bowdoin,Real,Assistant,91352.21
Carleton,Real,Assistant,88513.61
Claremont McKenna,Real,Assistant,108669.75
Colby,Real,Assistant,88083.89
Colgate,Real,Assistant,92464.38
Davidson,Real,Assistant,79876.90
Furman,Real,Assistant,70363.92
Grinnell,Real,Assistant,87727.22
Hamilton,Real,Assistant,88382.78
Haverford,Real,Assistant,84959.35
Macalester,Real,Assistant,79774.80
Middlebury,Real,Assistant,90234.19
Oberlin,Real,Assistant,72109.46
Pomona,Real,Assistant,98629.45
Swarthmore,Real,Assistant,87689.87
Vassar,Real,Assistant,89257.63
Washington and Lee,Real,Assistant,95154.32
Wesleyan,Real,Assistant,91207.26
Williams,Real,Assistant,93837.29
Amherst,Cola-Adjusted,Assistant,85859.19
Bates,Cola-Adjusted,Assistant,85861.90
Bowdoin,Cola-Adjusted,Assistant,85505.67
Carleton,Cola-Adjusted,Assistant,86389.28
Claremont McKenna,Cola-Adjusted,Assistant,37273.72
Colby,Cola-Adjusted,Assistant,106845.76
Colgate,Cola-Adjusted,Assistant,106703.89
Davidson,Cola-Adjusted,Assistant,66457.58
Furman,Cola-Adjusted,Assistant,78315.04
Grinnell,Cola-Adjusted,Assistant,105974.48
Hamilton,Cola-Adjusted,Assistant,110036.56
Haverford,Cola-Adjusted,Assistant,25147.97
Macalester,Cola-Adjusted,Assistant,80891.65
Middlebury,Cola-Adjusted,Assistant,92760.75
Oberlin,Cola-Adjusted,Assistant,88622.53
Pomona,Cola-Adjusted,Assistant,33829.90
Swarthmore,Cola-Adjusted,Assistant,76816.33
Vassar,Cola-Adjusted,Assistant,87026.19
Washington and Lee,Cola-Adjusted,Assistant,108761.39
Wesleyan,Cola-Adjusted,Assistant,88835.87
Williams,Cola-Adjusted,Assistant,92992.75
